grown						- виріс
attentiveness [етентівнес]  - уважність
convince                    - переконувати/переконатися
hint                        - натяк/підказка
templates                   - шаблони
relevent                    - актуальний/важливий/значний
compatible [kəmˈpadəb(ə)l]  - сумісний
build in                    - вбудований/вмонтувати в
involve                     - залучити/включати/припускати/брати участь/містить
several                     - клілька/декілька/чимало/ряд
satisfied                   - задоволений/виконаний/влаштовує
resolve                     - розвязати/усунути/виправити/подолати/рішення
harmful                     - шкода/шкідливо/шкодить
compatibility               - сумістність/відповідність
encounter                   - зустрічаєтесь/стикаєтесь/контакт
fork                        - вилка/розвилка/розгалуження
upon                        - після/щодо/перед
extensibility               - розширюваність/маштабування/об'єм
obsession                   - одержимість/захоплення/пристрасть
possession                  - власність/володіння/одержимість/спадок
shell                       - оболонка/корпус/снаряди/патрон
invoke                      - викликати/посилатися/закликати/благати
investigate                 - розслідувати/вивчити/з'ясувати/перевірити
handled                     - обробляється/оброблені/займався/поводиться
attempt                     - спроба/намагання
temporary [темпорі]         - тимчасовий/часові
cheerful	                - веселий/бадьорий
miserable[miz(ə)rəb(ə)l]   - жалюгідний/мізерний
silly		                - дурний/дурість
sensible	                - розумний/розсудливий
caring		                - турботливий
selfish		                - егоїстичний
hard-working	            - працьовитий
lazy		                - ледачий
outgoing	                - товариський
shy		                    - сором'язливи
generous	                - шляхетний/благородний
adventurous                 - пригоди
polite                      - вічливий
sensitive                   - чутливий
honest                      - чесний
wise                        - мудрий/розуний
brush                       - чистити/розчісувати
growers                     - виробники/фермери 
dishes                      - страви/кухні/посуд
seldom		                - рідко/нечасто/зрідка (rarely)
cozy                        - затишний
hardly ever                 - майже ніколи/рідко/практично не
row                         - ряд/скандал/супперечка
mostly                      - в основному/переважно/як правило
considerable                - значний/чималий/суттєвий
gather strength[treNG(k)TH] - зібратися з силами
gather                      - зібрати/зібратися
differ                      - відрізнятися
sneeze                      - чихати
umbrella                    - паралоська
attend                      - відвідувати/взяти участь
took place                  - відбувся/проходило/стався
glance                      - погляд
journey                     - подорож
therefore       [ˈT͟Herˌfôr]  - тому
obviously      [ˈäbvēəslē]  - очевидно
leverages      [левереджіс] - важелі
implementation              - впровадження
devise         [dəˈvīz]     - придумати
explore                     - досліджувати
acknowledgment              - підтвердження
acknowledgments[екновледжментс] - подяки
reliable                    - надійний
through       [THro͞o]       - через
make an effort              - прикладати зусиль
effort                      - зусилля
handy                       - зручний
maintainer                  - супроводжувач
general                     - загальний
finally                     - нарешті
excep                       - крім
unless                      - хіба що
ultimately                  - зрештою
cheaper                     - дешевше
advantage                   - перевага
plenty                      - багато
clarify                     - уточнити
shall       [SHal]          - повинні
associated                  - пов'язані
system-wide                 - загальносистемний
prevents                    - запобігає
wide                        - широкий
particular                  - зокрема
handful                     - жменька
rely                        - покладатися
various                     - різні
suit             [so͞ot]     - підійти/підходити/костюм
nail down                   - забивати
nail                        - цв'ях
extremely                   - надзвичайно
purposefully  [перпесфелі]  - цілеспрямовано
thus        [T͟Həs]          - таким чином
pretty                      - гарна
suppose                     - припустимо
occurrence					- виникнення 
occurrences					- випадки
assume			[əˈso͞om]     - припустити 
square brackets				- квадратні дужки
alternately                 - по черзі
shortcomings                - недоліків
nouns                       - іменник
verbs                       - дієслово
adjective                   - прикметник
at the initial stage        - на початковому етапі
accuracy    [ˈakyərəsē]     - точність
to a greater extenе         - більшою мірою
even                        - навіт 
even number                 - парне число
to specify                  - уточнювати
whether      [везер]        - наскільки/щодо/чи
tolerance                   - терпимість
fault          [fôlt]       - неспраність
folde                       - складати
rub             [раб]       - потерти/втирати/розтерти
scour        [скаер]        - обтирати
rear                        - задній
pit                         - яма
vehicle        [вієкол]     - транспортний засіб
elaps                       - проходить
simplicity                  - простота
innermost   [ˈinərˌmōst]     - найпотаємніші/внутрішній
poll                        - опитування/голосування
partially     [паршелі]     - частково
hourly      [ˈou(ə)rlē]     - погодинно/щогодинно
legacy          [ˈleɡəsē]   - наслідки/надбання/спадок
features                    - особливості/функції/риси
typically                   - переважно/здебльшого/часто/як правило
above                       - вище/понад/над
simultaneously              - одночасно
improvement                 - покращення
cut down                    - обрізати
mainly                      - в основному
statements                  - заяви
embarrass [ˌimˈberəs]        - збентежити
flu                         - грип
arrive                      - прибути
bad cold                    - сильна простуда
inspired                    - натхнення
    correspond                  - відповідати/збігатися/переписуватися
duty                        - обов'язково/зобов'язання/борг/відповідальність
set off                     - вирушати
area                        - площа/зона/територія
behind                      - позаду/осторонь
an instance                 - екземляр/приклад
    foreign        [ˈfôrən]     - іноземні 
earn              [ərn]     - заробляти
recently                    - недавно (newly)
concept                     - поняття/ідея/задум
ill                         - хвороба
nursery       [ˈnərs(ə)rē]  - дитячий садок/розсадник
    comprehensive               - комплексний/всебічний
    sufficient      [səˈfiSHənt]- достатньо/належний
newbie                      - новачок
large scale                 - маштабний/великого розміру
    impose                      - нав'язувати/встановити
to apply                    - застосувати/звернутися/використовувати
bit                         - трохи/не багато
snippet                     - фрагмент
conclusion                  - висновок/заключення/вирішення
punch                       - удар/бити/пробити
grand                       - надати/дозволити/дати
    scope                       - обсяг/простір/об'єм/спектр
depends                     - залежне/опирається
sunbathe                    - засмагати
    forecast                    - прикинутись/удавати
manage                      - керувати/розпоряджатися/управляти
afford                      - дозволяти собі/надавати/купити/платити
refuse                      - відмовлятися/відхилити/відмовитись від
prefer                      - віддавати перевагу/надавати перевагу
enormously                  - надзвичайно/неймовірно/сильно/колосально
employment                  - зайнятість/працевлаштування/робота
gigs                        - концерт/гігабайтами
    amusement                   - розваги/задоволення/луна
annoying                    - дратує/доккучливий/набридний
    honestly                    - чесно/щиро/насправді
laziness                    - лінь/ледачість
appearance                  - зовнішній вигляд
highlight                   - виділити/підкреслити/висвітлити/підсвітити
to assign                   - присвоїти/привласнити/призначити
parenthesis                 - круглі дужки
colon                       - двокрапка/кишечник
semicolon                   - крапка з комою/кома
lead to                     - призвести до/викликати/спровокувати/спричиняти
scalability                 - маштабованість/ маштабування/розширюваність
behalf                      - від імені
coverage                    - покриття/охоплення/освітлення
portability                 - портативність/мобільність/переносність
    outline                     - контур/схема/опис
firmware                    - прошивка/програмне забезпечення/мікропрограма
reply                       - відповідь/коментар/відгук/репліка
    safeguard                   - захист/гарантія
query                       - запит/питання
    hesitate                    - вагатися
mind                        - розум
regret                      - жалію/смуток/каяття
grid                        - сітка/мережа/решітка
sign                        - знак/вивіска/табличка
    neither                     - жодний/ніхто/також
researching                 - досліжєення/вивчення
autonomously                - автономний/самостійний
optical fiber               - оптичне волокно
borrow                      - позичити/брати/займати
crowded                     - переповнений/людний
interfere                   - заважати/втручатися/завадити
wheels                      - колеса
agree                       - погодитись/домовитися
wardrobe                    - гардироб/шафа
headache                    - головнийбіль
scruffy                     - пошарпаний
annoy                       - дратувати
queue  [kyo͞o]               - черга
circuit                     - схема/ланцюг/електрине коло/контур
regards                     - вважає/розглядає/побажання/вітання
inconveniently              - незручно
    insists                     - наполягає/стверджує/вимагає
suddenly                    - раптом/відразу/різко
currently                   - в даний час/зараз/наразі/на даний момент
fees                        - зборів/внески/платити/плату
blow                        - удар/підривати/подути
match                       - відповідність/поєдинок/підходити/поєднувати
bragging                    - вихваляння/хвалитися
brings                      - приносить/несе/дає/вносить
bother                      - турбувати/турбуватися/заважати/дратувати
interlocutor                - співрозмовник
integrity                   - цілісність/чесність/порядність
corrupted                   - пошкоджений/корумпований
occurs                      - вібувається/виникає/зустрічається
redundancy                  - резервування/надмірність/скорочення/дублювання
corner                      - кут/куток/поворот/закуток
brings                      - приносити/несе/дає/проводить/викликає
pay attention               - звернути увагу/слідкуйте
tick                        - кліщ/галочка/позначка
broadcast                   - трансляція/ефір/мовлення/передача
so that                     - так щоб
equipment                   - обладнання/техніка
manufacturer                - виробник/виготовлення
lying                       - брехня/лежання/обман
coast                       - узбережжя/берег
speciment                   - зразки/екземпляри
take notes                  - робити нотатки
inband                      - внутрішній/наземний/всередені країни
either                      - або/як/також
character                   - характер/герой/образ/вдача
measurement                 - вимірювання
observe                     - спостерігати
develop                     - розвиватися
invented                    - винайшли
dedicate                    - присвятити
impakt                      - вплив
crusial                     - вирішальне значення
granting                    - надання
periodically                - періодично
plural                      - множина
singular                    - однина
overlaps                    - перекриває/перетинається/дублювання
reusability                 - повторне використання
diligence                   - старанність
to evaluate                 - оцінювати/визначити
offset                      - компенсувати/зсув/відступ/зміщений
displacement                - переміщення/зміщення/зсув
discrepancy  [ˌdisˈkrepənsē] - невідповідність/розбіжність/суперечливість
appreciate                  - цінувати/оцінити/розуміти
implications                - наслідки
consideration               - розгляд/врахування/міркування/опрацювання
excessive                   - надмірний/зайвий/надлишковий
guesses                     - припущення/здогатка
mention                     - згадати/відзначити/вказати
quotes                      - цитати/лапки
feed on                     - харчуватися
embassies                   - посольства
sheets                      - листи/аркуші/таблиці
strict                      - суворий/жорсткий/чіткий
declaration                 - проголошення/заява/визначення
quantity                    - кількість/обсяг
precision                   - точність/чіткість
versatile                   - універсальний/багатогранний
eliminate                   - усунути/включити/позбутися
exchange                    - обмін/розмін
overhead                    - верхній/накладна/мостовий
jigsaw                      - головоломка
remains                     - залишається/остатки/залишки
canteen                     - їдальня
airstrip                    - злітна смуга
specimens                   - зразок
facility                    - об'єкт/цетр/установка/засіб
childhood                   - дитинство/молодість
ancestors                   - предки/батьки
preserve                    - зберегти/захистити/оберігати
evidence                    - доказ/підтвердження
research paper              - дослідницька робота
rubbish                     - сміття/мотлох
examine                     - вивчити/розглядати
gaps                        - зазор/проміжки/щілини
gap                         - розрив
thought                     - думка/мислення/подумав
truly                       - дійсно/справді/щиро
squid                       - кальмар
knock                       - стукати/вибити/стукнути
climb                       - підняти/лізти/забиратися
prompts                     - спонукає/підказує/змушує
retain                      - зберігати/утримувати
rough                       - грубий/шорсткий/приблизний/важкий
towards                     - щодо/в напрямку/перед
cross                       - хрест/розпяття/перетинати/перейти
law                         - закон/право
moustache                   - вуса
mole                        - родимка/міль/шпигун
bold                        - сміливий/жирний/відважний
bald                        - лисий
straight                    - прямий/рівні/прямолінійний
thick                       - товстий/густий/щільний
fringe                      - чуб
thin                        - тонкий/худий/рідкий
had some                    - мав деякі/були якісь
bangs                       - чубчик
plump                       - пухкий/дебела/товстенька
skinny                      - худий/худорляві
signature                   - підпис
gentle                      - ніжний
acquaintance  [əˈkwāntəns]  - знайомство
messy                       - безладний/брудний/неохайний
collide                     - стикатися
both                        - обидва
arrogant                    - зарозумілий/самовпевнений/пихатий
brave                       - хоробрий
influence                   - вплив/авторитет
charismatic                 - харезматичний
charming                    - чарівний/затишний/привабливий
attitude                    - ставлення/відношення/позиція
cruel                       - жорстокий/шкідливий
unkind                      - не добрий
unpleasant                  - неприємний
able                        - здатний/спроможний/здібний
steal                       - вкрасти/красти
cheat                       - обдурити/обманути/хитрувати
intelligent                 - розумний/мудрий/інтелігентний
jealous                     - ревнивий/заздрісний
modest                      - скромний/помірний/невеликий
emphasizing                 - підкреслюючи/наголосивши
rude                        - грубий/невічливий
stubborn                    - впертий/наполегливий
determine                   - визначити/встановити
witty                       - дотепний
boast                       - хвалитися/пишатися
disrespectful               - неповага/зневажливе
illegal                     - незаконний/заборонений
fill                        - заповнити/наповнити
estimated                   - орієнтовний/приблизний
complexity                  - складність/трудомісткість
embarrassing                - незручний/неприємний
engaging                    - залучений
fascinating                 - захоплюючий
gripping                    - захоплення
addictive                   - викликає звикання       
plot                        - сюжет
fiction                     - художня література
imaginative                 - образний/творчий/уявний
complex                     - складний/комплексний
moving                      - переміщення/переїзд/зворушливий/рухомий
script                      - сценарій/письмо/текст/шрифт
insufficiently              - недостатньо
strictly typed              - строго типізований 
disturb                     - турбувати
challenge                   - виклик/завдання/задача
implement                   - впровадити
employees                   - працівників
suburb           [ˈsəbərb]  - передмістя/околиця
phase                       - поетапний/фаза/виведені
-
confession                  - зізнання
on-demand                   - навимогу
factual                     - фактичний
proficient                  - досвідчений/найдосвідченіший/володіють
genres                      - жанри
quotient                    - коефіцієнт/частка/фактор
remainder                   - залишок/решта/остача
reconcile                   - примерити/узгодити/миритися/домовлятися
refs                        - посилання
twisted pair                - вита пара
twisted                     - кручений/скручений/закручений
ridiculous                  - смішний/безглуздий/абсурдний
validation period           - період перевірки
unverified source           - неперевіре неджерело
exhibition                  - виставка
personally                  - особиcто/персонально/самостійно
brief                       - короткий/стислий/невеликий
brief overview              - короткий огляд
сonduct                     - проводити/провести/здійснювати
conversely                  - навпаки/обернено/протилежно
reveal                      - розкрити/виявити/показати
vulnerability               - вразливість/незахищеність
an intruder                 - зловмисник
ugly                        - повторити/негарний/шкідливий/поганий
handsome                    - красивий/гарний/вродливий
grade                       - клас/сорт/марка
whale                       - кит
laugh                       - сміятися/розсмішити
worth                       - вартість/ціна/сенс/користь
valuable                    - цінний/корисний/важливий
transfer                    - передача/перенесення/передавати
transcend                   - подолати/перевершити/долати
audience                    - аудиторія/глядач/слухач
suitcase                    - валіза/сумка/портфель
cope                        - упоратись/боротися/подолати
pattern                     - малюнок/візерунок/шаблон/модель
screw                       - гвинт/шуруп/вкрутити/прикрутити
velociti                    - швидкість/чутливість
fairly                      - справедливо/чесно/цілком
generic                     - загальний/універсальний
settle down                 - заспокоюватись
settle                      - розраховуватися/вирішити/посилитися
bump                        - удар/шишка/підняти
oversight                   - контроль/нагляд
permanent                   - постійним/вічним/незмінним/сталий
subtraction                 - віднімання
corresponds                 - відповідає/збігається/співвідношення
disadvantages               - недоліки
contribute                  - сприяти
uncountable                 - незліченний
cause                       - викликати/спричинити/призвести до
nutrition                   - харчування
leftover                    - залишки
auxiliary                   - допоміжний/помічник
enormous                    - величезний/колосальний/великий/неймовірний
hangs                       - висить/звисає/висне
complaints                  - скарги
familiarize                 - ознайомитися/познайомити
irrelevant                  - недоречний/неактуальний
corrected                   - виправлений/коригується
assure                      - запевняти/гарантувати/сказати/переконати
grease                      - мастило
to grease                   - змастити
stock                       - запас/склад/фонд/акція
novel                       - роман/книга/твір
fairy tale                  - казки
poem                        - вірш/твір
i'm into                    - я зацікавлений/цікавлюсь
quite                       - досить/цілком/зовсім/достатньо
wrist                       - запястя/наручний
innocent                    - невинний/винний/безневинний
give up                     - відмовитись від/здатися/кинути/відмовлятися
come out                    - вийти/прийти/виходити
box office                  - касові збори/прокаті/касі
take on                     - набувати/братися за/виконувати/перейняти
escapism                    - втеча від дійсності
cope with                   - впоратися з/долати
causes                      - причини/викликає/змушує
trauma                      - травма/травмування
destruction                 - зменшення/руйнування/руйнація/розгром
stand up for                - відстоювати/протистояти/стояти за /відстояти
ourselves                   - себе/ми самі/нас самих
themselves                  - себе/самостійно/вони собі/самотужки
interrupt                   - переривати/припинити/заважати
ordinary                    - звичайни/простий/рядовий
mortals                     - смертні
computer-ganerated images   - зображення, створені комп’ютером
an advertisement            - реклама/оголошення
exact                       - точно/конкретний/докладний
tough situation             - скрутне становище
keen                        - цікавляться/зацікавлений/прагнути
etcetera                    - і так далі/і тому подібне
dedicated to                - присвячене/відданий
twilight                    - сутінки/напівтемрява
adult                       - дорослий/повнолітній/дорослі люди
survive                     - вижити/жити/вистояти/існувати
former                      - колишній/перший/екс
incredible                  - неймовіний/надзвичаний/чудовий
delimiter                   - роздільник
tasty                       - смачний/апетитний
unusual                     - незвичний/дивний
seem                        - здається/здатися/виглядати
judiciously                 - розумно/раціонально/обережно
freely                      - вільно/довільно/безкоштовно/безперешкодно
enforce                     - застосовувати/виконувати/дотримуватися/насильно
restrictions                - обмеження/заборона
serve                       - слугує/обслуговувати/виконувати/працювати/користь
obfuscation                 - заплутування/путаниця
internal                    - внутрішній/закрити/всередені/вбудований
derived                     - отриманий/похідний/виведеней
assess                      - оцінювати/визначити
tar                         - дьоготь/смола
conjunction                 - з'єднання/сполучення/поєднання/збіг
explicitly                  - явно/чітко/відкрито/безпосередньо
curly                       - кучеряві/фігурні/завиті
typo                        - помилка/одрук/описка
interoperability            - взаємодії/взаємосумістності
implicit                    - прихований/неявний/притриманий
unable                      - неможливо/нездатний/не спроможний
to locate                   - розташувати/розмістити/знаходити/щоб знайти/для пошуку
placeholder                 - заповнювач
sparingly                   - економно/умірено/скупо/бережно
ultimately                  - накінець/в кінчі кінчів/як результат
omit                        - опустити/пропустити/ігнорувати
curious                     - дивний/курйозний
amusing                     - кумедний/смішний/цікаві
rope                        - канат/трос/мотузка
masterpiece                 - шедевр/витвір
pavement                    - тротуар/асвальт
сlash                       - зіткнення
shallow                     - неглибокий/дрібний/поверхневий/пологий
compose                     - складати/написати/писати/створювати
had in mind                 - мав на увазі          mean/implied
earthquake                  - землетрус
bath                        - ванна
equation                    - рівняння 
discard                     - відкинути/скинути/викинути
pinch                       - щіпка
entry                       - запис
camber                      - розвал/опуклість/прогин
interrogates                - допитує/опитує
forbidden                   - заборонено
fraction                    - дріб
iterate                     - повторити
antique                     - античний
ironing                     - прасування
mess                        - безлад
the countryside             - в сільській місцевості
semi-detached house         - двоквартирний будинок
concrete                    - бетон
armchair                    - крісло
hall                        - зал
study                       - вивчення/кабінет
bathroom                    - ванна кімната
bedroom                     - спальня
living room                 - вітальня
washbasin                   - умивальник/раковина
dining table                - обідній стіл
rug                         - килимок
sofa                        - диван
dishwashers                 - посудомийна машина
oven                        - піч
odd                         - непарний
bench                       - лавка
assert                      - стверджувати/затвердити/заявити про
affirm                      - ствердити/підтвердити
soon recover                - незабаром одужати
in vain                     - даремно/марно/безуспішно
consequence                 - наслідки/результати
sight                       - погляд/зір/приціл/вид
check up                    - перевірити
get well                    - одужувати/стати здоровим
odd numbers                 - не парні числа
actually                    - дійсно/фактично/реально
agreement                   - угода/договір/згода
tail                        - хвіст/задні
proper                      - правильний/відповідний/належне/якісний
nevertheless                - однак/втім/тим не менше
eventually                  - зрештою/згодом/пізніше/поступово
wealthy                     - заможні
nearly                      - майже
average                     - середній
nearby                      - неподалік
ice-skating                 - катання на ковзанах
horse-riding                - верхова їзда
servants                    - слуги
roof                        - дах
wig                         - перуку
duke                        - герцог
moody                       - примхливий
collocations                - словосполучення
tied                        - прив'язаний
ankles                      - щиколотки
odd                         - непарний/дивний/незвичайний
relatives                   - рідні/близьких
furnitures                  - меблі
dense                       - щільний
humid                       - вологий
insect                      - комаха
tribe                       - племя
breathtaking views          - захоплюючі види
breathtaking                - захоплює дух
nearest                     - найближчий
mining town                 - шахтарське місто
scorching                   - пекучий
church                      - церква
